h4,h6,h7,h7,h6,h5,h4
h1,h5,h6,h5,h7,h3,h5
h7,h7,h5,h7,h3,h3,h4
h4,h7,h4,h6,h6,h5,h7
h6,h6,h4,h6,h4,h5,h4
h7,h6,h6,h2,h6,h3,h7
h1,h4,h6,h5,h7,h5,h2
h6,h6,h5,h7,h7,h6,h2
h4,h6,h6,h3,h6,h5,h5
h7,h2,h4,h4,h1,h1,h6
h5,h7,h2,h4,h5,h4,h6
h7,h3,h4,h5,h6,h5,h3
h2,h4,h4,h4,h2,h3,h7
h7,h7,h4,h7,h6,h6,h7
h3,h3,h5,h4,h1,h4,S
h1,h1,h2,h7,S,h5,h2
h5,h7,h3,h5,h5,h4,h4
S,S,h6,S,h5,h7,h5
h5,h6,S,h7,h5,S,h5
h7,h7,h6,h5,h4,h5,h6
h6,h5,h2,h6,h7,h4,h6
h7,h7,h5,h1,h5,h5,h7
h6,h6,h5,h7,h3,h4,h4
h3,h6,h5,h3,h3,h3,h7
h5,h5,h3,h2,h5,h6,h4
h7,h5,h5,h7,h6,h4,h6
h7,h3,h7,h1,h6,h6,h5
h6,h6,h6,h1,h7,h7,h6
h6,h7,h6,h4,h7,h6,h2
h2,h7,h7,h7,h5,h3,h7
h7,h7,h6,h6,S,S,h2
h5,h7,h4,S,h7,h6,h6
h6,h3,h1,h3,h6,h4,h6
h4,S,S,h5,h4,h6,h4
S,h7,h4,h2,h4,h6,S
h6,h6,h6,h7,h7,h6,h2
h5,h5,h7,h5,h4,h7,h3
h3,h5,h7,h4,h5,h7,h5
h6,h7,h5,h4,h6,h4,h3
h4,h2,h6,h6,h6,h4,h5
h6,h2,h5,h7,h6,h4,h6
h3,h5,h6,h6,h4,h6,h5
h6,h5,h3,h7,h5,h2,h1
h5,h6,h3,h3,h4,h1,h4
h7,h4,h5,h4,h5,h1,h4
h4,h6,h1,h6,h4,h4,h7
h3,h5,h4,h7,h4,h7,h2
h7,h7,h6,h6,h4,h6,h3
h6,h7,h5,h7,h6,h6,h4
h4,h5,h3,h4,h7,h2,h7